feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
STR_Arachnia_SGB15899	disease_status	periodontitis	-1.2202459541271	0.888175923753576	42	8	0.177130011794839	0.481793632081961
STR_Porphyromonas_catoniae	disease_status	periodontitis	-1.05895590730952	0.810246401923402	42	10	0.19869184763411	0.529844927024293
STR_Isoptericola_variabilis	disease_status	periodontitis	-0.538924181503539	0.418160013503957	42	7	0.204872228269136	0.535819673934664
STR_Ottowia_sp_Marseille_P4747	disease_status	periodontitis	-1.5130930301565	1.1953270720266	42	10	0.212893604137833	0.543007471523371
STR_Peptidiphaga_gingivicola	disease_status	periodontitis	0.522286435261097	0.415098140753764	42	5	0.21560590781075	0.543007471523371
STR_Pseudopropionibacterium_propionicum	disease_status	periodontitis	-1.51963460549494	1.23076087460428	42	20	0.224142122531571	0.544345154719529
STR_Kingella_denitrificans	disease_status	periodontitis	-0.978589655294199	0.789009360082686	42	7	0.222099479901529	0.544345154719529
STR_Veillonella_parvula	disease_status	periodontitis	-1.64205859694273	1.34856346705284	42	22	0.230497051490845	0.549957877241314
STR_Treponema_socranskii	disease_status	periodontitis	1.3390887062937	1.13047027400403	42	22	0.243189633839267	0.555460786502678
STR_Alloprevotella_tannerae	disease_status	periodontitis	0.978423098859444	0.815004756822451	42	15	0.237002015940494	0.555460786502678
STR_Lachnospiraceae_bacterium_oral_taxon_500	disease_status	periodontitis	0.37867406966172	0.326538537244537	42	9	0.253062357411832	0.555460786502678
STR_Granulicatella_adiacens	disease_status	periodontitis	-0.505872521049586	0.433352341568203	42	7	0.249982096015121	0.555460786502678
STR_Anaeroglobus_geminatus	disease_status	periodontitis	0.428345003443369	0.369499340116703	42	6	0.253224770317398	0.555460786502678
STR_Capnocytophaga_granulosa	disease_status	periodontitis	-0.936821891644614	0.857619839800577	42	16	0.281214498173993	0.56876047343991
STR_Prevotella_loescheii	disease_status	periodontitis	-0.358694448377442	0.326599062624277	42	9	0.27865304761245	0.56876047343991
STR_Haemophilus_parainfluenzae	disease_status	periodontitis	-1.24594876775035	1.15424986369925	42	12	0.286855687918866	0.56876047343991
STR_Arachnia_SGB15898	disease_status	periodontitis	-0.506091146461643	0.462177734035705	42	5	0.280060280500604	0.56876047343991
STR_Lautropia_dentalis	disease_status	periodontitis	0.589214314945335	0.547813238183821	42	8	0.28856229902466	0.56876047343991
STR_Catonella_morbi	disease_status	periodontitis	0.52304679159919	0.475684706510904	42	8	0.278095149059239	0.56876047343991
STR_Anaerolineaceae_bacterium_oral_taxon_439	disease_status	periodontitis	0.726174944456251	0.663872168107857	42	7	0.280565471002892	0.56876047343991
STR_Candidatus_Saccharibacteria_bacterium_oral_taxon_488	disease_status	periodontitis	-0.634693893699062	0.596859756776569	42	10	0.293983523570208	0.571167988650689
STR_Campylobacter_gracilis	disease_status	periodontitis	-1.0261529278135	0.994538918080273	42	28	0.308370085925545	0.589889050909895
STR_Prevotella_oulorum	disease_status	periodontitis	-0.730192203095754	0.713534833228142	42	10	0.312294203422885	0.589889050909895
STR_GGB12790_SGB19845	disease_status	periodontitis	-0.427040732884738	0.436485424491356	42	11	0.333775739079347	0.621828774175222
STR_Selenomonas_artemidis	disease_status	periodontitis	-0.832440723903985	0.93135435323983	42	10	0.376777525341037	0.649070496342705
STR_Neisseria_sp_oral_taxon_014	disease_status	periodontitis	0.690108480302466	0.764887127645208	42	9	0.37233274578083	0.649070496342705
STR_Prevotella_oralis	disease_status	periodontitis	0.353493773905347	0.380990859951789	42	7	0.359062196843769	0.649070496342705
