cohort_dropped	taxon_id	taxon_name	n_cohorts	direction	effect_size	p_value	q_value
geng2024_PRJDB11203	STR_Schaalia_meyeri	Schaalia_meyeri	3	health_enriched	0.133150075528416	0.858318512097468	0.916275710663535
geng2024_PRJDB11203	STR_Selenomonas_SGB5880	Selenomonas_SGB5880	4	health_enriched	-1.21872269522563	0.0204888187773272	0.0576465070684121
geng2024_PRJDB11203	STR_Selenomonas_SGB5891	Selenomonas_SGB5891	3	health_enriched	-0.470637616400414	0.704567961655501	0.822379681466831
geng2024_PRJDB11203	STR_Selenomonas_SGB5892	Selenomonas_SGB5892	2	disease_enriched	2.33741472367655	0.00434556326716031	0.0162104157831149
geng2024_PRJDB11203	STR_Selenomonas_artemidis	Selenomonas_artemidis	5	disease_enriched	1.9299019736636	0.950508509685918	0.970981000663769
geng2024_PRJDB11203	STR_Selenomonas_flueggei	Selenomonas_flueggei	3	disease_enriched	2.08885458400708	0.343618360550334	0.493858422955458
geng2024_PRJDB11203	STR_Selenomonas_infelix	Selenomonas_infelix	3	health_enriched	-0.718282447241394	0.200715889744112	0.336865054092794
geng2024_PRJDB11203	STR_Selenomonas_massiliensis	Selenomonas_massiliensis	2	disease_enriched	2.36614224565704	0.0102961193808028	0.032248222966288
geng2024_PRJDB11203	STR_Selenomonas_noxia	Selenomonas_noxia	5	disease_enriched	1.20812638579299	0.705958461500141	0.822379681466831
geng2024_PRJDB11203	STR_Selenomonas_sp_FOBRC6	Selenomonas_sp_FOBRC6	3	health_enriched	-0.190213630613154	0.190197261789152	0.322170872010195
geng2024_PRJDB11203	STR_Selenomonas_sp_oral_taxon_126	Selenomonas_sp_oral_taxon_126	3	disease_enriched	3.47307455563615	3.33564039004296e-05	0.000283957079357503
geng2024_PRJDB11203	STR_Selenomonas_sp_oral_taxon_920	Selenomonas_sp_oral_taxon_920	2	disease_enriched	2.37455591495504	0.132562878908188	0.244504865541769
geng2024_PRJDB11203	STR_Selenomonas_sputigena	Selenomonas_sputigena	5	disease_enriched	2.54371178050247	0.000216783017869388	0.00133281410986364
geng2024_PRJDB11203	STR_Shuttleworthia_satelles	Shuttleworthia_satelles	4	disease_enriched	1.64910471650718	0.101171913726527	0.201132187767707
geng2024_PRJDB11203	STR_Slackia_exigua	Slackia_exigua	3	disease_enriched	2.63200255118412	0.477281336779334	0.607747335964615
geng2024_PRJDB11203	STR_Solobacterium_SGB6833	Solobacterium_SGB6833	5	health_enriched	-0.500558369180345	0.353483520272105	0.502247974861955
geng2024_PRJDB11203	STR_Stomatobaculum_SGB5266	Stomatobaculum_SGB5266	5	health_enriched	-1.56182966028479	0.00090003861310314	0.00466895030547254
geng2024_PRJDB11203	STR_Stomatobaculum_longum	Stomatobaculum_longum	5	disease_enriched	-0.0141556223679141	0.239915179940341	0.379192842768687
geng2024_PRJDB11203	STR_Streptococcus_anginosus	Streptococcus_anginosus	5	disease_enriched	3.1085666215531	5.66620775101693e-07	7.52472389335049e-06
geng2024_PRJDB11203	STR_Streptococcus_constellatus	Streptococcus_constellatus	5	disease_enriched	2.48693940844399	2.38027928325941e-06	2.54920232916814e-05
geng2024_PRJDB11203	STR_Streptococcus_cristatus	Streptococcus_cristatus	5	health_enriched	-0.352775872930766	0.557174707919918	0.687665438771051
geng2024_PRJDB11203	STR_Streptococcus_gordonii	Streptococcus_gordonii	5	disease_enriched	0.480484536614148	0.657135291778984	0.784780276513031
geng2024_PRJDB11203	STR_Streptococcus_infantis	Streptococcus_infantis	5	health_enriched	-2.12168916059469	0.00267186501217687	0.0109513479511447
geng2024_PRJDB11203	STR_Streptococcus_intermedius	Streptococcus_intermedius	4	health_enriched	-2.08937637953553	0.118036615652959	0.22521928963668
geng2024_PRJDB11203	STR_Streptococcus_mitis	Streptococcus_mitis	5	health_enriched	-1.03272303532752	0.261415925106595	0.399954318596265
geng2024_PRJDB11203	STR_Streptococcus_mutans	Streptococcus_mutans	5	health_enriched	1.11511871982674	0.301074860838739	0.442286963710006
geng2024_PRJDB11203	STR_Streptococcus_oralis	Streptococcus_oralis	5	health_enriched	-0.130450036767083	0.746624594141096	0.84890193580426
geng2024_PRJDB11203	STR_Streptococcus_parasanguinis	Streptococcus_parasanguinis	5	health_enriched	-1.54919442390716	0.258066115581902	0.39830483261807
geng2024_PRJDB11203	STR_Streptococcus_rubneri	Streptococcus_rubneri	3	health_enriched	-0.697960438446137	0.202930755477587	0.336865054092794
geng2024_PRJDB11203	STR_Streptococcus_salivarius	Streptococcus_salivarius	5	disease_enriched	-0.297097287478127	0.724734643949643	0.841219313895563
geng2024_PRJDB11203	STR_Streptococcus_sanguinis	Streptococcus_sanguinis	5	health_enriched	-0.0507895396753401	0.0198580668126857	0.0568351567397557
geng2024_PRJDB11203	STR_Streptococcus_sinensis	Streptococcus_sinensis	3	disease_enriched	4.16073959098643	0.730212458589368	0.8417726953183
geng2024_PRJDB11203	STR_Streptococcus_sobrinus	Streptococcus_sobrinus	2	disease_enriched	4.16214360698728	0.757291294789968	0.852273592780574
geng2024_PRJDB11203	STR_Streptococcus_sp_263_SSPC	Streptococcus_sp_263_SSPC	5	health_enriched	-1.90348836618352	0.00327477831650226	0.0126866510283745
geng2024_PRJDB11203	STR_Streptococcus_sp_A12	Streptococcus_sp_A12	5	health_enriched	-2.8111326340283	4.64369225714534e-07	6.42377428905105e-06
geng2024_PRJDB11203	STR_TM7_phylum_sp_oral_taxon_348	TM7_phylum_sp_oral_taxon_348	5	health_enriched	0.344791071467591	0.91838729432461	0.953627244472678
geng2024_PRJDB11203	STR_TM7_phylum_sp_oral_taxon_350	TM7_phylum_sp_oral_taxon_350	5	disease_enriched	2.99486052977659	0.00226230002873474	0.00988267907289386
geng2024_PRJDB11203	STR_TM7_phylum_sp_oral_taxon_351	TM7_phylum_sp_oral_taxon_351	5	health_enriched	-2.62998822514504	3.29009264630034e-05	0.000283957079357503
geng2024_PRJDB11203	STR_Tannerella_forsythia	Tannerella_forsythia	5	disease_enriched	4.90525297552115	2.70867707390847e-11	1.28468684076802e-09
geng2024_PRJDB11203	STR_Tannerella_sp_oral_taxon_808	Tannerella_sp_oral_taxon_808	4	disease_enriched	1.70328185789994	0.0108305451644359	0.0332938980980809
