candidate_id,taxon_id,taxon_name,phenotype,direction,effect_size,q_value,link_id,vOTU_id,evidence_kind,confidence
CAND_7a42242eb429,STR_Oribacterium_sinus,Oribacterium_sinus,periodontitis,health_enriched,-0.3392125982191056,0.0440059684913442,LINK_ff2d0f008dfe,vOTU_yahara2021_01130,published_prediction,0.59
CAND_7a42242eb429,STR_Oribacterium_sinus,Oribacterium_sinus,periodontitis,health_enriched,-0.3392125982191056,0.0440059684913442,LINK_49d0eefca498,vOTU_yahara2021_01291,published_prediction,0.59
CAND_7a42242eb429,STR_Oribacterium_sinus,Oribacterium_sinus,periodontitis,health_enriched,-0.3392125982191056,0.0440059684913442,LINK_bf5b5351df17,vOTU_yahara2021_01640,published_prediction,0.69
CAND_b662a7ba6baa,STR_Peptoanaerobacter_stomatis,Peptoanaerobacter_stomatis,periodontitis,disease_enriched,0.2854474122386892,0.0020326800751412012,LINK_7211ec732c61,vOTU_yahara2021_00869,published_prediction,0.56
CAND_e4984ebe6cba,STR_Porphyromonas_catoniae,Porphyromonas_catoniae,periodontitis,health_enriched,-0.10740516277807968,0.3384740185313812,LINK_1238cb2678b4,vOTU_yahara2021_00878,published_prediction,0.8
CAND_6b0fdeb9622c,STR_Porphyromonas_endodontalis,Porphyromonas_endodontalis,periodontitis,disease_enriched,0.5622855019566716,2.6037179355020732e-20,LINK_61880cb0b283,vOTU_yahara2021_00311,published_prediction,0.75
CAND_11d089ce5f92,STR_Prevotella_aurantiaca,Prevotella_aurantiaca,periodontitis,health_enriched,-0.0970047681111326,0.5036723893435199,LINK_03f74e6ebff6,vOTU_yahara2021_01280,published_prediction,0.77
CAND_78cf1bef1351,STR_Prevotella_fusca,Prevotella_fusca,periodontitis,health_enriched,-0.015908300146625105,0.9677960691892297,LINK_38b8b1864b67,vOTU_yahara2021_01633,published_prediction,0.7
CAND_378910def99c,STR_Prevotella_histicola,Prevotella_histicola,periodontitis,health_enriched,-0.03886226557273785,0.7664311990927195,LINK_3319736ebd7b,vOTU_yahara2021_01597,published_prediction,0.55
CAND_1eff1e143f61,STR_Prevotella_shahii,Prevotella_shahii,periodontitis,health_enriched,-0.3927466475132402,0.01249212935640795,LINK_f22af2374259,vOTU_yahara2021_00307,published_prediction,0.56
CAND_53c802167537,STR_Pseudopropionibacterium_propionicum,Pseudopropionibacterium_propionicum,periodontitis,disease_enriched,0.08457707163263523,0.6956392667627607,LINK_cc996858f002,vOTU_yahara2021_00761,published_prediction,0.8
CAND_53c802167537,STR_Pseudopropionibacterium_propionicum,Pseudopropionibacterium_propionicum,periodontitis,disease_enriched,0.08457707163263523,0.6956392667627607,LINK_e4d29c6f834e,vOTU_yahara2021_00774,published_prediction,0.62
CAND_ce0163bee51c,STR_Stomatobaculum_longum,Stomatobaculum_longum,periodontitis,disease_enriched,0.11650338401885212,0.2265040783209592,LINK_9b4606f28bc9,vOTU_yahara2021_00060,published_prediction,0.77
CAND_ce0163bee51c,STR_Stomatobaculum_longum,Stomatobaculum_longum,periodontitis,disease_enriched,0.11650338401885212,0.2265040783209592,LINK_2299d78194dd,vOTU_yahara2021_01014,published_prediction,0.8
CAND_ce0163bee51c,STR_Stomatobaculum_longum,Stomatobaculum_longum,periodontitis,disease_enriched,0.11650338401885212,0.2265040783209592,LINK_901e59a560cf,vOTU_yahara2021_01170,published_prediction,0.87
CAND_61b71b32b940,STR_Streptococcus_parasanguinis,Streptococcus_parasanguinis,periodontitis,health_enriched,-0.1429671241946206,0.5202902577716961,LINK_26a369558f15,vOTU_yahara2021_01354,published_prediction,0.82
CAND_a92fa93d14d7,STR_Veillonella_atypica,Veillonella_atypica,periodontitis,health_enriched,-4.3040286760984717e-4,0.9954005095511408,LINK_07d072349b21,vOTU_yahara2021_01041,published_prediction,0.84
CAND_a92fa93d14d7,STR_Veillonella_atypica,Veillonella_atypica,periodontitis,health_enriched,-4.3040286760984717e-4,0.9954005095511408,LINK_daa3bb621cb4,vOTU_yahara2021_01643,published_prediction,1
CAND_7c6e388b3bd2,STR_Veillonella_parvula,Veillonella_parvula,periodontitis,disease_enriched,0.20818868706729,0.3380805627787754,LINK_c5504e522ac2,vOTU_yahara2021_00779,published_prediction,0.6
CAND_7c6e388b3bd2,STR_Veillonella_parvula,Veillonella_parvula,periodontitis,disease_enriched,0.20818868706729,0.3380805627787754,LINK_38a6a95fb03f,vOTU_yahara2021_01232,published_prediction,0.74
CAND_7c6e388b3bd2,STR_Veillonella_parvula,Veillonella_parvula,periodontitis,disease_enriched,0.20818868706729,0.3380805627787754,LINK_4fc3c003461b,vOTU_yahara2021_01618,published_prediction,0.63
CAND_4d18644a9beb,STR_Veillonella_tobetsuensis,Veillonella_tobetsuensis,periodontitis,health_enriched,-0.4186912090201083,0.1457065098690552,LINK_058f204c0ee4,vOTU_yahara2021_01662,published_prediction,0.76
