candidate_id,taxon_id,taxon_name,phenotype,direction,effect_size,q_value,link_id,vOTU_id,host_taxon_id,evidence_kind,confidence
CAND_7f28f3c7edb6,STR_Rothia_aeria,Rothia_aeria,periodontitis,health_enriched,-2.5013694198827263,0.11545112289804009,LINK_d9bb01a235a3,vOTU_yahara2021_00523,STR_Rothia,published_prediction,0.92
CAND_91283a05d3f5,STR_Treponema_denticola,Treponema_denticola,periodontitis,disease_enriched,3.9003381977780904,0.13130936167871035,LINK_5dbb6338b1ba,vOTU_yahara2021_00333,STR_Treponema,published_prediction,0.93
CAND_643a3fc93962,STR_Mogibacterium_timidum,Mogibacterium_timidum,periodontitis,disease_enriched,3.097517101245172,0.17517416015654583,LINK_431d50635d1c,vOTU_yahara2021_00189,STR_Mogibacterium,published_prediction,0.92
CAND_643a3fc93962,STR_Mogibacterium_timidum,Mogibacterium_timidum,periodontitis,disease_enriched,3.097517101245172,0.17517416015654583,LINK_e0e543832aec,vOTU_yahara2021_00361,STR_Mogibacterium,published_prediction,0.92
CAND_643a3fc93962,STR_Mogibacterium_timidum,Mogibacterium_timidum,periodontitis,disease_enriched,3.097517101245172,0.17517416015654583,LINK_3ce49af54bdc,vOTU_yahara2021_00550,STR_Mogibacterium,published_prediction,0.92
CAND_643a3fc93962,STR_Mogibacterium_timidum,Mogibacterium_timidum,periodontitis,disease_enriched,3.097517101245172,0.17517416015654583,LINK_7b0fddfa75fb,vOTU_yahara2021_00568,STR_Mogibacterium,published_prediction,0.89
CAND_643a3fc93962,STR_Mogibacterium_timidum,Mogibacterium_timidum,periodontitis,disease_enriched,3.097517101245172,0.17517416015654583,LINK_2ce6dc1e120f,vOTU_yahara2021_00611,STR_Mogibacterium,published_prediction,0.92
CAND_643a3fc93962,STR_Mogibacterium_timidum,Mogibacterium_timidum,periodontitis,disease_enriched,3.097517101245172,0.17517416015654583,LINK_df695efaa34c,vOTU_yahara2021_00635,STR_Mogibacterium,published_prediction,0.92
CAND_643a3fc93962,STR_Mogibacterium_timidum,Mogibacterium_timidum,periodontitis,disease_enriched,3.097517101245172,0.17517416015654583,LINK_9f85d0805d17,vOTU_yahara2021_00636,STR_Mogibacterium,published_prediction,0.92
CAND_643a3fc93962,STR_Mogibacterium_timidum,Mogibacterium_timidum,periodontitis,disease_enriched,3.097517101245172,0.17517416015654583,LINK_98a7dd285b42,vOTU_yahara2021_00644,STR_Mogibacterium,published_prediction,0.92
CAND_643a3fc93962,STR_Mogibacterium_timidum,Mogibacterium_timidum,periodontitis,disease_enriched,3.097517101245172,0.17517416015654583,LINK_7fe3dc888c64,vOTU_yahara2021_00645,STR_Mogibacterium,published_prediction,0.89
CAND_643a3fc93962,STR_Mogibacterium_timidum,Mogibacterium_timidum,periodontitis,disease_enriched,3.097517101245172,0.17517416015654583,LINK_25706bcfa620,vOTU_yahara2021_00976,STR_Mogibacterium,published_prediction,0.79
