taxon_id,effect_size,se,p_value,tau2,I2,n_cohorts,taxon_name,q_value,direction
STR_Abiotrophia_defectiva,-0.08613199488834504,0.07970403294938064,0.2798537719596139,0,0,4,Abiotrophia_defectiva,0.4356494645003458,health_enriched
STR_Abiotrophia_sp_HMSC24B09,-0.10284120370154305,0.07408784585463613,0.16510715190668615,0,0,5,Abiotrophia_sp_HMSC24B09,0.3013956388828368,health_enriched
STR_Actinobaculum_sp_oral_taxon_183,-0.04288310002497327,0.14821984342509745,0.7723358121285588,0.08714585870452339,80.373745651203,5,Actinobaculum_sp_oral_taxon_183,0.8598672041697955,health_enriched
STR_Actinomyces_SGB17154,0.13514615082625764,0.15902299752255952,0.3954068912428347,0.07653597875375913,76.88361544045908,4,Actinomyces_SGB17154,0.5457268664260612,disease_enriched
STR_Actinomyces_SGB17168,-0.24591389493024413,0.07592516322752337,0.0011999227982166549,0.004322310325876463,14.844090054553163,5,Actinomyces_SGB17168,0.006570069091874799,health_enriched
STR_Actinomyces_bouchesdurhonensis,-0.1791312238707478,0.10389964970863495,0.08469354833867,0.014474058001344225,33.43045614177942,4,Actinomyces_bouchesdurhonensis,0.18133105862253704,health_enriched
STR_Actinomyces_dentalis,0.3093692155380933,0.1076399177173079,0.004051648225300701,0.04852713790113815,70.11201488842416,6,Actinomyces_dentalis,0.01670679638580783,disease_enriched
STR_Actinomyces_gerencseriae,-0.04062230631663019,0.09441218418446538,0.6670025150381924,0.0262809384808698,50.26962103263928,6,Actinomyces_gerencseriae,0.7899958866055187,health_enriched
STR_Actinomyces_graevenitzii,-0.11339600868922516,0.09063685975294647,0.2108970559576135,0.013871862470045905,34.05872880908631,5,Actinomyces_graevenitzii,0.3543127731159803,health_enriched
STR_Actinomyces_israelii,0.26386292743647105,0.06617241719992109,6.677144475275707e-5,0,0,5,Actinomyces_israelii,5.186433150562991e-4,disease_enriched
STR_Actinomyces_johnsonii,-0.015419017866238933,0.14102675575668897,0.9129375882726215,0.09374509492986059,80.01291313347573,6,Actinomyces_johnsonii,0.9649403622881506,health_enriched
STR_Actinomyces_massiliensis,-0.15827433355722914,0.0807817163082037,0.05007952299298197,0.0131457102290176,34.205993030406916,6,Actinomyces_massiliensis,0.12866585138196907,health_enriched
STR_Actinomyces_naeslundii,-0.015525372160195929,0.18860552169080574,0.9343949253479726,0.18983780991168173,90.67574650124011,6,Actinomyces_naeslundii,0.9677960691892297,health_enriched
STR_Actinomyces_oris,-0.011954531016654796,0.0971066246444702,0.9020221580530703,0.029526035231306338,53.27253139363729,6,Actinomyces_oris,0.9649403622881506,health_enriched
STR_Actinomyces_sp_ICM47,-0.2994470104044874,0.06811389438528814,1.1012738216855672e-5,0,0,5,Actinomyces_sp_ICM47,9.941228552512957e-5,health_enriched
STR_Actinomyces_sp_ICM58,-0.2831613804944783,0.0751788487663818,1.6554990977724735e-4,0,0,4,Actinomyces_sp_ICM58,0.001151951455533346,health_enriched
STR_Actinomyces_sp_S6_Spd3,-0.3103685973621841,0.09739679496408606,0.0014393542678303934,0.0240317584173041,51.91636179953755,5,Actinomyces_sp_S6_Spd3,0.0076308623088151015,health_enriched
STR_Actinomyces_sp_oral_taxon_448,-0.14724051887386458,0.094943949427279975,0.120945979555674,0.02686094699734414,51.559178184102116,6,Actinomyces_sp_oral_taxon_448,0.23902933237630247,health_enriched
STR_Actinomyces_sp_oral_taxon_897,0.3348851115198863,0.10391457246687584,0.0012699010414194188,0.04364819602765032,68.62758277886516,6,Actinomyces_sp_oral_taxon_897,0.006841079803775578,disease_enriched
STR_Actinomyces_timonensis,0.10014994286419351,0.11376753825841565,0.3786950087225544,0.007660993540847688,29.548533362637937,2,Actinomyces_timonensis,0.5292223134449087,disease_enriched
STR_Aggregatibacter_actinomycetemcomitans,0.08033121543660117,0.12623510797167464,0.5245405561363377,0.023595907941639245,49.54563563388845,3,Aggregatibacter_actinomycetemcomitans,0.6818234592125246,disease_enriched
STR_Aggregatibacter_aphrophilus,0.18530226488477378,0.10072772186535127,0.06582180980640608,0.024599860489859644,49.06156524141683,5,Aggregatibacter_aphrophilus,0.1537376536737037,disease_enriched
STR_Aggregatibacter_segnis,0.25305163791992297,0.15132947442756048,0.09448685645594031,0.0896135601825193,80.33212008550778,5,Aggregatibacter_segnis,0.19601621152971468,disease_enriched
STR_Aggregatibacter_sp_oral_taxon_458,-0.07500034445159127,0.16231219026096186,0.6440278063419071,0.13025988780924114,85.25157390910445,6,Aggregatibacter_sp_oral_taxon_458,0.7737600263244496,health_enriched
STR_Alloprevotella_SGB1466,0.0042492274005706205,0.08746130162202877,0.9612507525116474,0,0,4,Alloprevotella_SGB1466,0.9818279857458417,disease_enriched
STR_Alloprevotella_rava,0.03832266618492349,0.08279604028152711,0.6434673960489324,0.0065165320813441105,18.857147699181162,5,Alloprevotella_rava,0.7737600263244496,disease_enriched
STR_Alloprevotella_sp_Lung230,0.018972727409484844,0.13694316336002743,0.8898100721129361,0.026994713060913965,47.85167873922325,3,Alloprevotella_sp_Lung230,0.95561596169042,disease_enriched
STR_Alloprevotella_tannerae,0.2634621987042855,0.06226667119880112,2.3245684134781075e-5,0,0,6,Alloprevotella_tannerae,2.0431732897412838e-4,disease_enriched
STR_Alloscardovia_omnicolens,0.26141716839346335,0.10614213151699181,0.013781938879712569,0,0,2,Alloscardovia_omnicolens,0.04512909397866664,disease_enriched
STR_Anaeroglobus_geminatus,0.33893605341196886,0.1177186885404116,0.003986810569825335,0.06232449433540639,77.3094872203103,6,Anaeroglobus_geminatus,0.016644934129020773,disease_enriched
STR_Anaerolineaceae_bacterium_oral_taxon_439,0.27623391906743244,0.07795456824528929,3.948166898016401e-4,0.0050659096384233415,20.79443978173331,4,Anaerolineaceae_bacterium_oral_taxon_439,0.0023547995427454964,disease_enriched
STR_Arachnia_SGB15898,0.09060532755086015,0.06971360309707757,0.19371090456934892,0,0,5,Arachnia_SGB15898,0.34062047644684873,disease_enriched
STR_Arachnia_SGB15899,0.009889414064231857,0.13382251329825315,0.9410903700996065,0.0642759242363206,73.32456239893786,5,Arachnia_SGB15899,0.9677960691892297,disease_enriched
