taxon_id,p_value,U,r,var_r,log2fc,mean_case,mean_ctrl,taxon_name,source_id,n_case,n_ctrl,n_total
STR_Prevotella_loescheii,0.4596593925454934,197,-0.09839816933638446,0.023920227939855702,-1.9836660794660566,0.0023559901278501034,0.00932082090475604,Prevotella_loescheii,geng2024_PRJDB11203,23,19,42
STR_Treponema_socranskii,0.23384122666634644,263.5,0.20594965675057209,0.02236508614985742,0.719027003414257,0.0091451714800352309,0.005555363425338329,Treponema_socranskii,geng2024_PRJDB11203,23,19,42
STR_Capnocytophaga_SGB2480,0.26674684836311857,182,-0.16704805491990848,0.023048014308743675,-2.484178122169289,0.002658445840699135,0.014879011941367617,Capnocytophaga_SGB2480,geng2024_PRJDB11203,23,19,42
STR_GGB1843_SGB2524,0.06373131993618288,159.5,-0.2700228832951945,0.020963207240745175,-3.1708475119084363,2.7865795092749573e-4,0.0025175314820810074,GGB1843_SGB2524,geng2024_PRJDB11203,23,19,42
STR_TM7_phylum_sp_oral_taxon_348,0.3129639566136588,184.5,-0.15560640732265452,0.023223404353955972,-0.33901895642769153,0.016135315745675994,0.020409763863066054,TM7_phylum_sp_oral_taxon_348,geng2024_PRJDB11203,23,19,42
STR_Eikenella_corrodens,0.4578343754226731,191.5,-0.1235697940503433,0.023651077303506775,-0.2809758953868257,0.00199657236731214,0.0024260833686209613,Eikenella_corrodens,geng2024_PRJDB11203,23,19,42
STR_Actinomyces_gerencseriae,0.2926049934966789,181,-0.17162471395881007,0.02297457352786196,1.5897229356567248,0.010947835644491827,0.003636589169141067,Actinomyces_gerencseriae,geng2024_PRJDB11203,23,19,42
STR_Alloprevotella_tannerae,0.2625241751586325,257,0.17620137299771166,0.02289926984848193,1.0289249606157513,0.006297050921999299,0.003085518549178757,Alloprevotella_tannerae,geng2024_PRJDB11203,23,19,42
STR_Porphyromonas_sp_oral_taxon_278,0.5973963081882818,203,-0.07093821510297482,0.0241453868931323,-1.11141489017952,0.0026495570153269674,0.005725725548817483,Porphyromonas_sp_oral_taxon_278,geng2024_PRJDB11203,23,19,42
STR_Prevotella_oris,0.11997595193185155,274.5,0.25629290617848977,0.021291281710814385,1.4768115967594044,0.008582706418135785,0.003082970867052929,Prevotella_oris,geng2024_PRJDB11203,23,19,42
STR_Actinomyces_johnsonii,0.9070343482722012,222,0.016018306636155666,0.02437772911076759,0.6850988404527434,0.001301936914696736,8.093788309470364e-4,Actinomyces_johnsonii,geng2024_PRJDB11203,23,19,42
STR_Arachnia_SGB15899,0.07370901209278283,169.5,-0.22425629290617854,0.021998717153385087,1.2841734794887063,0.00476065924401454,0.0019541657286278667,Arachnia_SGB15899,geng2024_PRJDB11203,23,19,42
STR_Corynebacterium_durum,0.0011811498409285163,108,-0.505720823798627,0.013509823802949803,-3.038714480353255,0.001979373249963945,0.016272885583319706,Corynebacterium_durum,geng2024_PRJDB11203,23,19,42
STR_Actinomyces_oris,0.041106100655515045,141,-0.3546910755148741,0.018639404168544507,-2.251649443174646,0.0060741655054157295,0.028930578947109313,Actinomyces_oris,geng2024_PRJDB11203,23,19,42
STR_Campylobacter_SGB19337,0.14978611530480024,181,-0.17162471395881007,0.02297457352786196,-1.6312110567869658,2.7004060861452573e-4,8.386104227779939e-4,Campylobacter_SGB19337,geng2024_PRJDB11203,23,19,42
STR_Campylobacter_SGB19317,0.11945447950844422,178,-0.18535469107551483,0.022743113087033504,-2.825162911713042,0.00021661920103335205,0.001541254302757832,Campylobacter_SGB19317,geng2024_PRJDB11203,23,19,42
STR_Streptococcus_oralis,0.07691679864779,154,-0.29519450800915337,0.020324725590269526,-1.912659608292005,0.0015472196562927815,0.005828086373165797,Streptococcus_oralis,geng2024_PRJDB11203,23,19,42
STR_Streptococcus_cristatus,0.9739327011206111,220,0.006864988558352492,0.02438794502646932,0.3369620869171582,0.0013523022397660695,0.0010704184112804256,Streptococcus_cristatus,geng2024_PRJDB11203,23,19,42
STR_Prevotella_oulorum,0.3021177331111231,187.5,-0.14187643020594964,0.023418227575187602,-0.9036708942381998,0.0013784138026708165,0.0025796351756515305,Prevotella_oulorum,geng2024_PRJDB11203,23,19,42
STR_Rothia_dentocariosa,0.08154381759051624,151,-0.30892448512585813,0.019957049701352984,-1.6230541439420807,0.018540372379188846,0.0571113273427963,Rothia_dentocariosa,geng2024_PRJDB11203,23,19,42
STR_Leptotrichia_buccalis,1,219,0.0022883295194509046,0.024389988466425396,0.9998636310928396,0.00108987574264006,5.444894305753208e-4,Leptotrichia_buccalis,geng2024_PRJDB11203,23,19,42
STR_Selenomonas_SGB5891,0.8973094558786695,214.5,-0.01830663615560646,0.024373898694131986,1.0783875130567133,8.7284795167506e-4,4.1281753003519927e-4,Selenomonas_SGB5891,geng2024_PRJDB11203,23,19,42
