candidate_id,taxon_id,taxon_name,phenotype,direction,effect_size,p_value,q_value,n_cohorts,method,schema_version
CAND_24160712e976,STR_Lautropia_mirabilis,Lautropia_mirabilis,periodontitis,health_enriched,-2.8639016368524346,0.0015835295993978683,0.05384000637952752,1,maaslin2,0.1
CAND_0b94103d23eb,STR_Corynebacterium_durum,Corynebacterium_durum,periodontitis,health_enriched,-2.261239015476259,0.0020116808280312977,0.054717718522451296,1,maaslin2,0.1
CAND_b174127d85ad,STR_Filifactor_alocis,Filifactor_alocis,periodontitis,disease_enriched,2.5948598325317382,0.0026152699273467527,0.059279451686526395,1,maaslin2,0.1
CAND_d13fe433b4e9,STR_Actinomyces_naeslundii,Actinomyces_naeslundii,periodontitis,health_enriched,-2.5259037820012713,0.004114415072065916,0.0673155777125104,1,maaslin2,0.1
CAND_c9457f0f7e9c,STR_Rothia_aeria,Rothia_aeria,periodontitis,health_enriched,-2.4145138604740306,0.004552017908978815,0.0673155777125104,1,maaslin2,0.1
CAND_32805cecc575,STR_Porphyromonas_endodontalis,Porphyromonas_endodontalis,periodontitis,disease_enriched,3.3489079495711045,0.003606170796907452,0.0673155777125104,1,maaslin2,0.1
CAND_c0a7375ef886,STR_Treponema_denticola,Treponema_denticola,periodontitis,disease_enriched,1.5478880497880017,0.004949674831802236,0.0673155777125104,1,maaslin2,0.1
CAND_2d0389842ed8,STR_Tannerella_forsythia,Tannerella_forsythia,periodontitis,disease_enriched,2.400065030050118,0.006851819380118879,0.08397100902937611,1,maaslin2,0.1
CAND_daf4d482662f,STR_Fretibacterium_fastidiosum,Fretibacterium_fastidiosum,periodontitis,disease_enriched,1.7777297328741868,0.007409206679062598,0.08397100902937611,1,maaslin2,0.1
CAND_7606fe3b5558,STR_Actinomyces_massiliensis,Actinomyces_massiliensis,periodontitis,health_enriched,-2.5349282470690104,0.00912647271863245,0.09547694536415487,1,maaslin2,0.1
CAND_ad0ecdefea85,STR_Capnocytophaga_gingivalis,Capnocytophaga_gingivalis,periodontitis,health_enriched,-3.332563342361102,0.00905559003452089,0.08796858890677435,1,ancombc,0.1
CAND_12d51977a898,STR_Lautropia_mirabilis,Lautropia_mirabilis,periodontitis,health_enriched,-3.968133185813631,0.003974175179550738,0.04504065203490837,1,ancombc,0.1
CAND_edd879e55a01,STR_Actinomyces_naeslundii,Actinomyces_naeslundii,periodontitis,health_enriched,-4.00248471230953,6.085050859609653e-4,0.019086306866706378,1,ancombc,0.1
CAND_4c61492fdba4,STR_Corynebacterium_durum,Corynebacterium_durum,periodontitis,health_enriched,-4.332810447066579,0.0010963007133192608,0.019086306866706378,1,ancombc,0.1
CAND_6bdf6a712d9b,STR_Treponema_maltophilum,Treponema_maltophilum,periodontitis,disease_enriched,4.079570791301112,5.371556188553552e-4,0.019086306866706378,1,ancombc,0.1
CAND_970fb62467e0,STR_Porphyromonas_endodontalis,Porphyromonas_endodontalis,periodontitis,disease_enriched,4.488721890061849,0.0010498319360669282,0.019086306866706378,1,ancombc,0.1
CAND_14623dff6269,STR_Tannerella_forsythia,Tannerella_forsythia,periodontitis,disease_enriched,5.115107561558732,0.0020230065607979323,0.029902674342752827,1,ancombc,0.1
CAND_0af75aa4825c,STR_GGB1025_SGB1319,GGB1025_SGB1319,periodontitis,disease_enriched,3.608265552623894,0.0022066045675344643,0.029902674342752827,1,ancombc,0.1
CAND_abf61457e9d8,STR_GGB10852_SGB17523,GGB10852_SGB17523,periodontitis,disease_enriched,4.518313859204976,1.6552829036948173e-4,0.011255923745124758,1,ancombc,0.1
CAND_a0bb645388c2,STR_Filifactor_alocis,Filifactor_alocis,periodontitis,disease_enriched,3.7371770408253977,8.257820674618564e-4,0.019086306866706378,1,ancombc,0.1
CAND_e78900a4e4f4,STR_Treponema_SGB69443,Treponema_SGB69443,periodontitis,disease_enriched,3.385212067687121,0.0024185986600755963,0.029902674342752827,1,ancombc,0.1
CAND_28479ecd800d,STR_Eubacterium_nodatum,Eubacterium_nodatum,periodontitis,disease_enriched,4.281132566288214,5.4881028412290395e-5,0.007463819864071494,1,ancombc,0.1
CAND_e5c375f3f7ea,STR_Fretibacterium_fastidiosum,Fretibacterium_fastidiosum,periodontitis,disease_enriched,3.054120598301592,0.0011227239333356693,0.019086306866706378,1,ancombc,0.1
CAND_758f339f5cb2,STR_GGB4333_SGB5935,GGB4333_SGB5935,periodontitis,disease_enriched,2.954253022311777,0.006296844732036682,0.0658746833505376,1,ancombc,0.1
CAND_b7e0e8e289b1,STR_Actinomyces_massiliensis,Actinomyces_massiliensis,periodontitis,health_enriched,-4.559556245551809,0.01366972890108423,0.06885493076101687,1,deseq2,0.1
CAND_5b6162a46e4d,STR_GGB1022_SGB1315,GGB1022_SGB1315,periodontitis,disease_enriched,28.354306266300703,4.584349714971115e-22,2.078238537453572e-20,1,deseq2,0.1
CAND_630f2f0e1765,STR_Leptotrichia_hongkongensis,Leptotrichia_hongkongensis,periodontitis,health_enriched,-27.594673387272454,4.550699654854655e-21,1.237790306120466e-19,1,deseq2,0.1
CAND_e41c627fa396,STR_GGB4400_SGB6074,GGB4400_SGB6074,periodontitis,health_enriched,-25.729209364434013,1.6114707720560474e-18,1.8263335416635205e-17,1,deseq2,0.1
CAND_f5bf1712c887,STR_Leptotrichia_hofstadii,Leptotrichia_hofstadii,periodontitis,disease_enriched,24.498977171289646,7.207322446002894e-17,5.445532514757742e-16,1,deseq2,0.1
CAND_ef2be9bcbba3,STR_Kytococcus_sedentarius,Kytococcus_sedentarius,periodontitis,health_enriched,-27.53378973678611,5.547432724679093e-21,1.2574180842605945e-19,1,deseq2,0.1
CAND_572ad2dac5b0,STR_Anaeroglobus_geminatus,Anaeroglobus_geminatus,periodontitis,disease_enriched,25.14865955620132,1.0804895530389623e-17,9.796438614219924e-17,1,deseq2,0.1
CAND_d4820b98bc0c,STR_GGB6675_SGB9425,GGB6675_SGB9425,periodontitis,disease_enriched,26.61873974630332,1.2351317630061672e-19,1.866421330764875e-18,1,deseq2,0.1
CAND_cf2f87238708,STR_Peptidiphaga_gingivicola,Peptidiphaga_gingivicola,periodontitis,disease_enriched,25.74410120356437,1.819226882553079e-18,1.903191200209375e-17,1,deseq2,0.1
CAND_6b455dd974da,STR_GGB12790_SGB19844,GGB12790_SGB19844,periodontitis,health_enriched,-24.66428531526631,3.859443267317525e-17,3.08755461385402e-16,1,deseq2,0.1
CAND_41b97aef2913,STR_Prevotella_denticola,Prevotella_denticola,periodontitis,disease_enriched,28.36249449427528,4.461241668770763e-22,2.078238537453572e-20,1,deseq2,0.1
CAND_03c41688e016,STR_Centipeda_periodontii,Centipeda_periodontii,periodontitis,health_enriched,-24.417632795694498,7.912013240128402e-17,5.663335792934014e-16,1,deseq2,0.1
CAND_81682294331d,STR_Selenomonas_sp_oral_taxon_892,Selenomonas_sp_oral_taxon_892,periodontitis,disease_enriched,23.30695856342461,2.0729241246808275e-15,1.2257290476373587e-14,1,deseq2,0.1
CAND_08c4e992ad2e,STR_Bacteroidetes_unclassified_SGB1343,Bacteroidetes_unclassified_SGB1343,periodontitis,disease_enriched,10.59962525483371,2.942344681583118e-5,1.6006355067812162e-4,1,deseq2,0.1
CAND_84a1516eaa94,STR_Campylobacter_showae,Campylobacter_showae,periodontitis,disease_enriched,23.48446655289196,1.2640596759600028e-15,7.814187087752744e-15,1,deseq2,0.1
CAND_71ac830517c9,STR_Dialister_pneumosintes,Dialister_pneumosintes,periodontitis,disease_enriched,27.22168071407488,1.8380405937427837e-20,3.1246690093627324e-19,1,deseq2,0.1
