taxon_id,effect_size,p_value,q_value,direction,taxon_name
STR_Eubacterium_nodatum,2.4163155126672033,2.4086319497042982e-4,0.03275739451597846,disease_enriched,Eubacterium_nodatum
STR_GGB10852_SGB17523,1.3265386403933737,6.477823219170854e-4,0.04404919789036181,disease_enriched,GGB10852_SGB17523
STR_Treponema_maltophilum,2.193788923796855,0.0010002871137975828,0.045346349158823754,disease_enriched,Treponema_maltophilum
STR_Lautropia_mirabilis,-2.8639016368524346,0.0015835295993978683,0.05384000637952752,health_enriched,Lautropia_mirabilis
STR_Corynebacterium_durum,-2.261239015476259,0.0020116808280312977,0.054717718522451296,health_enriched,Corynebacterium_durum
STR_Filifactor_alocis,2.5948598325317382,0.0026152699273467527,0.059279451686526395,disease_enriched,Filifactor_alocis
STR_Actinomyces_naeslundii,-2.5259037820012713,0.004114415072065916,0.0673155777125104,health_enriched,Actinomyces_naeslundii
STR_Rothia_aeria,-2.4145138604740306,0.004552017908978815,0.0673155777125104,health_enriched,Rothia_aeria
STR_Porphyromonas_endodontalis,3.3489079495711045,0.003606170796907452,0.0673155777125104,disease_enriched,Porphyromonas_endodontalis
STR_Treponema_denticola,1.5478880497880017,0.004949674831802236,0.0673155777125104,disease_enriched,Treponema_denticola
STR_Tannerella_forsythia,2.400065030050118,0.006851819380118879,0.08397100902937611,disease_enriched,Tannerella_forsythia
STR_Fretibacterium_fastidiosum,1.7777297328741868,0.007409206679062598,0.08397100902937611,disease_enriched,Fretibacterium_fastidiosum
STR_Actinomyces_massiliensis,-2.5349282470690104,0.00912647271863245,0.09547694536415487,health_enriched,Actinomyces_massiliensis
STR_GGB4333_SGB5935,2.155038612011688,0.010778742605695089,0.10470778531246656,disease_enriched,GGB4333_SGB5935
STR_GGB1025_SGB1319,2.0187739459870526,0.0135273536377089,0.11498250592052565,disease_enriched,GGB1025_SGB1319
STR_Treponema_SGB69443,2.4084222430032676,0.012857497788148747,0.11498250592052565,disease_enriched,Treponema_SGB69443
STR_Actinobaculum_sp_oral_taxon_183,-2.409903823936677,0.020126668480315555,0.1517961249235491,health_enriched,Actinobaculum_sp_oral_taxon_183
STR_Streptococcus_sanguinis,-1.91485343998981,0.020337468368189168,0.1517961249235491,health_enriched,Streptococcus_sanguinis
STR_Porphyromonas_gingivalis,3.866691274647324,0.02120681157020171,0.1517961249235491,disease_enriched,Porphyromonas_gingivalis
STR_Candidatus_Nanoperiomorbus_periodonticus,1.7424294331763444,0.02261419132682817,0.15377650102243157,disease_enriched,Candidatus_Nanoperiomorbus_periodonticus
STR_Mogibacterium_timidum,2.4584944645823006,0.025103379891897544,0.16257426977609837,disease_enriched,Mogibacterium_timidum
