taxon_id,z_pool,p_value,effect_size,direction,n_cohorts,taxon_name,q_value
STR_GGB1138_SGB1455,1.2736564677345066,0.20278519061450417,1.882658611631577,disease_enriched,2,GGB1138_SGB1455,0.3440551894899191
STR_GGB1188_SGB1538,5.845182488736648,5.060132309240419e-9,7.264229815173283,disease_enriched,5,GGB1188_SGB1538,1.1267227941908666e-7
STR_GGB1201_SGB1566,2.2487578237141435,0.024527908070436,1.86412281686443,disease_enriched,5,GGB1201_SGB1566,0.06729907528261576
STR_GGB1202_SGB1567,0.13928860713463245,0.8892220923113446,0.8239758797269808,disease_enriched,3,GGB1202_SGB1567,0.934785270919807
STR_GGB1203_SGB1568,-1.0734565025783471,0.28306634486964205,-0.32713431888394473,health_enriched,5,GGB1203_SGB1568,0.4387801406049597
STR_GGB12441_SGB19290,-0.3321477992118647,0.7397776583666804,0.4450961979760512,health_enriched,4,GGB12441_SGB19290,0.8404276799131675
STR_GGB12443_SGB19313,1.0087567784865865,0.31309129415462583,0.8957987776709632,disease_enriched,2,GGB12443_SGB19313,0.4647666322117557
STR_GGB12761_SGB19791,0.15122778735696102,0.8797960312266144,0.11734475685246941,disease_enriched,3,GGB12761_SGB19791,0.9299109950306621
STR_GGB12762_SGB19792,0.6325756832204308,0.5270107707694299,2.9599266711780814,disease_enriched,3,GGB12762_SGB19792,0.6517602175187253
STR_GGB12763_SGB19797,-3.1023701206206753,0.0019197776802822727,-3.022075701109593,health_enriched,4,GGB12763_SGB19797,0.008436917700187882
STR_GGB12783_SGB19821,1.1856399465698406,0.23576451972707962,3.173468021916687,disease_enriched,2,GGB12783_SGB19821,0.38600661563159117
STR_GGB12785_SGB19823,-1.231682560228788,0.21806768694272854,-0.9456280692538155,health_enriched,4,GGB12785_SGB19823,0.36236123103916085
STR_GGB12785_SGB19825,0.46475396284969167,0.6421076594434194,1.091403718017745,disease_enriched,3,GGB12785_SGB19825,0.75250511668106
STR_GGB12785_SGB19827,-1.8477852361641516,0.06463341753709084,-4.055741051093331,health_enriched,4,GGB12785_SGB19827,0.14202343064071277
STR_GGB12788_SGB19831,0.8868952686902933,0.37513528917901356,1.8577861179018287,disease_enriched,4,GGB12788_SGB19831,0.5135048630565185
STR_GGB12790_SGB19844,0.8272457628934795,0.40809777821573784,0.9927008821466401,disease_enriched,5,GGB12790_SGB19844,0.5408914996986366
STR_GGB12790_SGB19845,2.795959392420175,0.005174590169876839,1.8665538717148948,disease_enriched,6,GGB12790_SGB19845,0.01838630975254111
STR_GGB12796_SGB19893,2.448319724497482,0.014352423286721695,1.4251150589651433,disease_enriched,4,GGB12796_SGB19893,0.043579176161500414
STR_GGB1472_SGB2037,-0.6359711589410562,0.5247952203943297,-1.0373527827297808,health_enriched,4,GGB1472_SGB2037,0.6516044743929595
STR_GGB1472_SGB2038,0.03718049377648123,0.9703410915688094,1.5842256599781381,disease_enriched,3,GGB1472_SGB2038,0.9791357238186779
STR_GGB1474_SGB2040,-1.1811166073269914,0.23755640341677894,-2.360214046702847,health_enriched,3,GGB1474_SGB2040,0.38697921109361133
